data,id,command
2023-09-09-16-07,176668569,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-07,176668569,Показать все локации
2023-09-09-16-07,605175170,Список локаций в 2ГИС
2023-09-09-16-08,721460459,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-08,914650748,/start
2023-09-09-16-08,914650748,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-09,914650748,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-10,914650748,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-10,795378,/start
2023-09-09-16-10,795378,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-10,795378,Список локаций в 2ГИС
2023-09-09-16-11,102821765,Бесплатные локации
2023-09-09-16-13,988362594,/start
2023-09-09-16-13,178956670,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-13,178956670,Бесплатные локации
2023-09-09-16-13,988362594,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-14,676262076,/start
2023-09-09-16-14,676262076,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-14,676262076,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-14,676262076,Бесплатные локации
2023-09-09-16-15,200909438,Список локаций в 2ГИС
2023-09-09-16-16,1226829767,Бесплатные локации
2023-09-09-16-16,57799784,Бесплатные локации
2023-09-09-16-17,200909438,Показать все локации
2023-09-09-16-17,102821765,Бесплатные локации
2023-09-09-16-17,521509937,/start
2023-09-09-16-17,616660616,Список локаций в 2ГИС
2023-09-09-16-17,521509937,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-18,489002834,/start
2023-09-09-16-18,489002834,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-19,642422636,Вернуться в главное меню
2023-09-09-16-19,642422636,📍Локации фестиваля
2023-09-09-16-19,172842831,/start
2023-09-09-16-19,172842831,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-20,172842831,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-20,719189911,"В меню можете выбрать то, что вас интересует"
